type,host_time,imu_time_us,x,y,z,i,j,k,real,accuracy
LA,1782148467.1355636,6587811,-0.035156,-0.117188,0.191406,,,,,
RV,1782148467.1373625,6592811,,,,-0.048645,0.116333,0.603577,0.787292,1.133057
LA,1782148467.1375535,6592811,-0.035156,-0.195312,0.234375,,,,,
RV,1782148467.1413484,6597611,,,,-0.048645,0.116333,0.604126,0.786865,1.133057
LA,1782148467.144022,6597611,-0.035156,-0.203125,0.265625,,,,,
RV,1782148467.1560395,6602411,,,,-0.048584,0.116333,0.604675,0.786438,1.133057
RV,1782148467.2561533,6771543,,,,-0.038818,0.119202,0.617798,0.776306,1.133301
RV,1782148467.3382034,6817633,,,,-0.028992,0.122131,0.628601,0.767517,1.133301
LA,1782148467.3539882,6817633,0.175781,-0.363281,-0.117188,,,,,
RV,1782148467.354323,6822533,,,,-0.028503,0.122253,0.629089,0.767151,1.133301
LA,1782148467.3595426,6822533,0.167969,-0.371094,-0.15625,,,,,
RV,1782148467.3597302,6828033,,,,-0.028076,0.122437,0.629578,0.766724,1.133301
LA,1782148467.36049,6828033,0.132812,-0.378906,-0.078125,,,,,
RV,1782148467.3698092,6833033,,,,-0.02771,0.12262,0.630066,0.766296,1.133301
LA,1782148467.3713756,6833033,0.132812,-0.347656,-0.117188,,,,,
RV,1782148467.3854213,6837833,,,,-0.027344,0.122803,0.630493,0.76593,1.133301
LA,1782148467.385678,6837833,0.125,-0.394531,-0.078125,,,,,
RV,1782148467.3863993,6843233,,,,-0.026978,0.122986,0.630981,0.765503,1.133301
LA,1782148467.387374,6843233,0.125,-0.371094,-0.117188,,,,,
RV,1782148467.4005814,6848133,,,,-0.026611,0.123108,0.631409,0.765137,1.133301
LA,1782148467.401594,6848133,0.078125,-0.378906,-0.039062,,,,,
RV,1782148467.4022408,6853133,,,,-0.026245,0.123291,0.631836,0.764771,1.133301
RV,1782148467.4964967,7021990,,,,-0.018677,0.128113,0.6427,0.755127,1.133545
RV,1782148467.5974505,7068515,,,,-0.015686,0.128601,0.651367,0.74762,1.133545
LA,1782148467.5981967,7068515,0.03125,0.035156,0.082031,,,,,
RV,1782148467.598542,7073515,,,,-0.015625,0.128479,0.651733,0.747314,1.133789
LA,1782148467.6026027,7073515,-0.09375,0.035156,0.121094,,,,,
RV,1782148467.6148217,7078115,,,,-0.015625,0.128357,0.652039,0.74707,1.133789
LA,1782148467.6245246,7078115,-0.4375,-0.039062,0.273438,,,,,
RV,1782148467.6247134,7083515,,,,-0.015625,0.128174,0.652466,0.746765,1.133789
RV,1782148467.6270516,7088415,,,,-0.015503,0.127869,0.652893,0.74646,1.133789
LA,1782148467.6279967,7088415,-0.683594,-0.109375,0.351562,,,,,
LA,1782148467.65004,7098015,-0.507812,0.195312,0.496094,,,,,
RV,1782148467.6585488,7103415,,,,-0.015076,0.126709,0.654175,0.745483,1.133789
RV,1782148467.746486,7271476,,,,-0.012817,0.120911,0.666382,0.735596,1.133789
RV,1782148467.8479502,7318286,,,,-0.01355,0.119934,0.671326,0.731262,1.134033
LA,1782148467.868843,731690,0.67157,0.731079,1.134033,,,,,
LA,1782148467.869803,7333786,0.0625,-0.523438,0.496094,,,,,
RV,1782148467.8765073,7338386,,,,-0.014221,0.119568,0.67157,0.731079,1.134033
LA,1782148467.879971,7338386,-0.011719,-0.484375,0.496094,,,,,
RV,1782148467.9170575,7343786,,,,-0.014343,0.119446,0.67157,0.731079,1.134033
LA,1782148467.9173188,7343786,-0.082031,-0.4375,0.535156,,,,,
RV,1782148468.0214062,7522075,,,,-0.011963,0.117554,0.672119,0.730957,1.134033
LA,1782148468.0887115,7563111,-0.136719,-0.613281,-0.070312,,,,,
RV,1782148468.0946712,7568511,,,,-0.00769,0.115784,0.669067,0.73407,1.134277
LA,1782148468.10598,7568511,-0.136719,-0.613281,-0.042969,,,,,
RV,1782148468.1069946,7573211,,,,-0.007507,0.115723,0.668823,0.734314,1.134277
LA,1782148468.1073668,7573211,-0.136719,-0.539062,-0.109375,,,,,
RV,1782148468.1128607,7578311,,,,-0.007263,0.115723,0.668518,0.734619,1.134277
